Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,230,47002,12.00,307.20,0.00,35.00,21.00,2000.00
1986,231,47002,0.00,393.60,0.00,37.00,23.50,2160.00
1986,232,47002,0.00,438.40,0.00,40.00,24.00,2040.00
1986,233,46656,0.00,444.80,0.00,40.50,24.00,2040.00
1986,234,46656,2.00,476.80,0.00,40.00,22.00,1720.00
1986,235,46656,6.00,288.00,0.00,37.50,23.50,2560.00
1986,236,46310,6.00,284.80,0.00,33.50,20.50,2240.00
1986,237,46310,0.00,387.20,0.00,33.50,20.50,2000.00
1986,238,46310,0.00,352.00,0.00,32.50,21.00,2160.00
1986,239,46310,0.00,316.80,0.00,31.00,21.00,2280.00
1986,240,45965,0.00,326.40,0.00,33.00,22.50,2440.00
1986,241,45965,0.00,332.80,0.00,33.00,22.50,2400.00
1986,242,45619,0.00,396.80,0.00,33.00,20.50,1880.00
1986,243,45619,0.00,393.60,0.00,34.00,21.50,2000.00
1986,244,45619,0.00,438.40,0.00,35.50,21.00,1840.00
1986,245,45274,0.00,476.80,0.00,36.00,19.50,1560.00
1986,246,45274,0.00,483.20,0.00,36.50,19.50,1560.00
1986,247,45274,0.00,492.80,0.00,37.50,19.50,1520.00
1986,248,44928,0.00,496.00,0.00,39.00,20.00,1560.00
1986,249,44928,0.00,499.20,0.00,39.50,20.00,1560.00
1986,250,44928,0.00,454.40,0.00,38.00,21.50,1840.00
1986,251,44582,0.00,403.20,0.00,36.50,22.50,2120.00
1986,252,44582,0.00,371.20,0.00,35.00,22.50,2240.00
1986,253,44582,0.00,374.40,0.00,34.00,21.50,2120.00
1986,254,44237,0.00,492.80,0.00,34.00,15.50,1240.00
1986,255,44237,0.00,505.60,0.00,35.50,15.50,1200.00
1986,256,44237,0.00,476.80,0.00,36.00,17.50,1440.00
1986,257,43891,0.00,505.60,0.00,36.00,15.00,1160.00
1986,258,43891,0.00,444.80,0.00,35.50,18.50,1600.00
1986,259,43891,0.00,470.40,0.00,35.00,16.50,1360.00
1986,260,43546,0.00,492.80,0.00,35.00,14.50,1160.00
1986,261,43546,0.00,492.80,0.00,36.50,15.00,1200.00
1986,262,43546,0.00,476.80,0.00,36.50,16.00,1320.00
1986,263,43200,0.00,441.60,0.00,35.50,17.50,1520.00
1986,264,43200,0.00,406.40,0.00,34.50,18.50,1680.00
1986,265,42854,0.00,393.60,0.00,34.50,19.00,1800.00
1986,266,42854,0.00,428.80,0.00,32.00,15.00,1360.00
1986,267,42854,10.00,297.60,0.00,27.50,12.50,1400.00
1986,268,42509,0.00,377.60,0.00,26.00,12.00,1280.00
1986,269,42509,0.00,406.40,0.00,28.50,12.50,1240.00
1986,270,42509,0.00,428.80,0.00,31.00,13.00,1240.00
1986,271,42163,0.00,432.00,0.00,31.00,12.50,1200.00
1986,272,42163,0.00,416.00,0.00,29.00,11.50,1160.00
1986,273,42163,0.00,422.40,0.00,28.50,10.50,1080.00
1986,274,41818,0.00,451.20,0.00,32.00,11.00,1080.00
1986,275,41818,0.00,310.40,0.00,31.50,18.50,2040.00
1986,276,41818,0.00,332.80,0.00,28.50,15.00,1600.00
1986,277,41472,0.00,387.20,0.00,29.00,12.50,1280.00
1986,278,41472,0.00,364.80,0.00,30.00,14.50,1480.00
1986,279,41472,0.00,380.80,0.00,30.50,14.00,1400.00
1986,280,41126,0.00,336.00,0.00,32.00,17.50,1840.00
1986,281,41126,0.00,371.20,0.00,32.00,15.50,1560.00
1986,282,41126,0.00,368.00,0.00,31.50,15.00,1520.00
1986,283,40781,4.00,227.20,0.00,26.50,14.00,1600.00
1986,284,40781,2.00,300.80,0.00,23.50,11.50,1360.00
